current_x, current_y, calc_x, calc_y, distance
1.62, 0.76, 1.67, 0.86, 0.11
1.61, 0.77, 1.65, 0.87, 0.11
1.61, 0.77, 1.65, 0.87, 0.11
1.60, 0.78, 1.64, 0.87, 0.10
1.59, 0.78, 1.64, 0.88, 0.11
1.58, 0.79, 1.62, 0.88, 0.10
1.57, 0.80, 1.61, 0.89, 0.10
1.56, 0.80, 1.61, 0.89, 0.10
1.55, 0.80, 1.60, 0.89, 0.11
1.54, 0.81, 1.59, 0.90, 0.10
1.54, 0.82, 1.58, 0.90, 0.09
1.53, 0.83, 1.57, 0.91, 0.09
1.52, 0.84, 1.56, 0.91, 0.09
1.51, 0.84, 1.55, 0.92, 0.09
1.50, 0.85, 1.54, 0.92, 0.09
1.49, 0.85, 1.54, 0.93, 0.09
1.49, 0.86, 1.53, 0.93, 0.08
1.48, 0.87, 1.52, 0.94, 0.08
1.47, 0.88, 1.51, 0.94, 0.08
1.46, 0.88, 1.50, 0.95, 0.08
1.46, 0.88, 1.50, 0.95, 0.08
1.45, 0.88, 1.50, 0.95, 0.09
1.45, 0.89, 1.49, 0.96, 0.08
1.44, 0.90, 1.48, 0.96, 0.08
1.44, 0.90, 1.48, 0.96, 0.08
1.43, 0.90, 1.48, 0.97, 0.08
1.43, 0.91, 1.47, 0.97, 0.07
1.42, 0.91, 1.46, 0.97, 0.08
1.41, 0.91, 1.46, 0.98, 0.08
1.40, 0.92, 1.45, 0.99, 0.08
1.39, 0.93, 1.44, 0.99, 0.08
1.39, 0.93, 1.44, 0.99, 0.08
1.38, 0.94, 1.43, 1.00, 0.08
1.36, 0.95, 1.41, 1.01, 0.08
1.35, 0.96, 1.40, 1.02, 0.08
1.33, 0.97, 1.38, 1.04, 0.09
1.32, 0.98, 1.37, 1.04, 0.08
1.32, 0.99, 1.37, 1.05, 0.08
1.31, 1.00, 1.36, 1.06, 0.08
1.29, 1.01, 1.34, 1.07, 0.08
1.29, 1.02, 1.34, 1.07, 0.07
1.28, 1.02, 1.33, 1.08, 0.08
1.27, 1.03, 1.33, 1.09, 0.08
1.26, 1.04, 1.32, 1.10, 0.08
1.25, 1.06, 1.30, 1.11, 0.07
1.24, 1.06, 1.30, 1.12, 0.08
1.24, 1.06, 1.30, 1.12, 0.08
1.23, 1.07, 1.29, 1.13, 0.08
1.23, 1.07, 1.29, 1.13, 0.08
1.22, 1.09, 1.27, 1.14, 0.07
1.21, 1.09, 1.27, 1.14, 0.08
1.20, 1.09, 1.26, 1.15, 0.09
1.20, 1.10, 1.26, 1.15, 0.08
