Projected direction: 16.35, error: 16.35, derivative: 1.43, control var: 5.90, steering_command 70
Projected direction: 17.12, error: 17.12, derivative: 0.77, control var: 5.67, steering_command 71
Projected direction: 15.96, error: 15.96, derivative: -1.16, control var: 3.97, steering_command 77
Projected direction: 16.28, error: 16.28, derivative: 0.32, control var: 5.11, steering_command 73
Projected direction: 15.92, error: 15.92, derivative: -0.36, control var: 4.53, steering_command 75
Projected direction: 16.56, error: 16.56, derivative: 0.64, control var: 5.42, steering_command 72
Projected direction: 14.88, error: 14.88, derivative: -1.68, control var: 3.28, steering_command 79
Projected direction: 17.01, error: 17.01, derivative: 2.13, control var: 6.60, steering_command 67
Projected direction: 15.84, error: 15.84, derivative: -1.17, control var: 3.93, steering_command 77
Projected direction: 16.81, error: 16.81, derivative: 0.97, control var: 5.73, steering_command 71
Projected direction: 11.63, error: 11.63, derivative: -5.18, control var: -0.14, steering_command 91
Projected direction: 14.08, error: 14.08, derivative: 2.45, control var: 5.94, steering_command 70
Projected direction: 10.32, error: 10.32, derivative: -3.76, control var: 0.47, steering_command 89
Projected direction: 15.63, error: 15.63, derivative: 5.31, control var: 8.41, steering_command 61
Projected direction: 16.67, error: 16.67, derivative: 1.04, control var: 5.73, steering_command 71
Projected direction: 16.92, error: 16.92, derivative: 0.25, control var: 5.25, steering_command 72
Projected direction: 15.75, error: 15.75, derivative: -1.17, control var: 3.90, steering_command 77
Projected direction: 16.92, error: 16.92, derivative: 1.18, control var: 5.90, steering_command 70
Projected direction: 14.94, error: 14.94, derivative: -1.98, control var: 3.10, steering_command 80
Projected direction: 15.12, error: 15.12, derivative: 0.17, control var: 4.65, steering_command 74
Projected direction: 9.45, error: 9.45, derivative: -5.67, control var: -1.13, steering_command 94
Projected direction: 15.70, error: 15.70, derivative: 6.26, control var: 9.09, steering_command 59
Projected direction: 15.14, error: 15.14, derivative: -0.57, control var: 4.15, steering_command 76
Projected direction: 15.53, error: 15.53, derivative: 0.39, control var: 4.93, steering_command 73
Projected direction: 14.36, error: 14.36, derivative: -1.17, control var: 3.49, steering_command 78
Projected direction: 16.36, error: 16.36, derivative: 2.01, control var: 6.31, steering_command 68
Projected direction: 16.19, error: 16.19, derivative: -0.17, control var: 4.73, steering_command 74
Projected direction: 15.94, error: 15.94, derivative: -0.25, control var: 4.61, steering_command 74
Projected direction: 16.32, error: 16.32, derivative: 0.38, control var: 5.16, steering_command 72
Projected direction: 16.18, error: 16.18, derivative: -0.14, control var: 4.75, steering_command 74
Projected direction: 14.16, error: 14.16, derivative: -2.02, control var: 2.83, steering_command 81
Projected direction: 14.21, error: 14.21, derivative: 0.05, control var: 4.30, steering_command 75
Projected direction: 13.46, error: 13.46, derivative: -0.75, control var: 3.52, steering_command 78
Projected direction: 15.30, error: 15.30, derivative: 1.83, control var: 5.87, steering_command 70
Projected direction: 15.73, error: 15.73, derivative: 0.43, control var: 5.02, steering_command 73
Projected direction: 16.11, error: 16.11, derivative: 0.38, control var: 5.10, steering_command 73
Projected direction: 12.64, error: 12.64, derivative: -3.48, control var: 1.36, steering_command 86
Projected direction: 15.15, error: 15.15, derivative: 2.51, control var: 6.30, steering_command 69
Projected direction: 15.02, error: 15.02, derivative: -0.13, control var: 4.41, steering_command 75
Projected direction: 13.47, error: 13.47, derivative: -1.54, control var: 2.96, steering_command 80
Projected direction: 7.62, error: 7.62, derivative: -5.86, control var: -1.81, steering_command 97
Projected direction: 10.83, error: 10.83, derivative: 3.21, control var: 5.50, steering_command 71
Projected direction: 13.08, error: 13.08, derivative: 2.25, control var: 5.50, steering_command 71
Projected direction: 15.74, error: 15.74, derivative: 2.67, control var: 6.59, steering_command 68
Projected direction: 12.29, error: 12.29, derivative: -3.45, control var: 1.27, steering_command 86
Projected direction: 15.29, error: 15.29, derivative: 3.00, control var: 6.69, steering_command 67
Projected direction: 15.45, error: 15.45, derivative: 0.16, control var: 4.74, steering_command 74
Projected direction: 13.22, error: 13.22, derivative: -2.22, control var: 2.41, steering_command 82
Projected direction: 15.83, error: 15.83, derivative: 2.60, control var: 6.57, steering_command 68
Projected direction: 10.85, error: 10.85, derivative: -4.98, control var: -0.23, steering_command 91
Projected direction: 15.50, error: 15.50, derivative: 4.66, control var: 7.91, steering_command 63
Projected direction: 15.86, error: 15.86, derivative: 0.36, control var: 5.01, steering_command 73
Projected direction: 14.31, error: 14.31, derivative: -1.55, control var: 3.21, steering_command 79
Projected direction: 14.92, error: 14.92, derivative: 0.61, control var: 4.90, steering_command 73
Projected direction: 15.80, error: 15.80, derivative: 0.88, control var: 5.36, steering_command 72
Projected direction: 13.29, error: 13.29, derivative: -2.51, control var: 2.23, steering_command 83
Projected direction: 15.95, error: 15.95, derivative: 2.65, control var: 6.64, steering_command 67
Projected direction: 13.65, error: 13.65, derivative: -2.30, control var: 2.49, steering_command 82
Projected direction: 17.44, error: 17.44, derivative: 3.79, control var: 7.89, steering_command 63
Projected direction: 15.98, error: 15.98, derivative: -1.47, control var: 3.77, steering_command 77
Projected direction: 16.08, error: 16.08, derivative: 0.10, control var: 4.90, steering_command 73
Projected direction: 16.63, error: 16.63, derivative: 0.55, control var: 5.37, steering_command 72
Projected direction: 14.55, error: 14.55, derivative: -2.07, control var: 2.91, steering_command 80
Projected direction: 16.31, error: 16.31, derivative: 1.75, control var: 6.12, steering_command 69
Projected direction: 15.15, error: 15.15, derivative: -1.16, control var: 3.73, steering_command 77
Projected direction: 15.06, error: 15.06, derivative: -0.08, control var: 4.46, steering_command 75
Projected direction: 15.60, error: 15.60, derivative: 0.53, control var: 5.05, steering_command 73
Projected direction: 13.63, error: 13.63, derivative: -1.97, control var: 2.71, steering_command 81
Projected direction: 15.60, error: 15.60, derivative: 1.98, control var: 6.06, steering_command 69
Projected direction: 17.89, error: 17.89, derivative: 2.29, control var: 6.97, steering_command 66
Projected direction: 16.38, error: 16.38, derivative: -1.51, control var: 3.86, steering_command 77
