Projected direction: 5.08, error: 5.08, derivative: -0.04, control var: 0.98, steering_command 87
Projected direction: 4.93, error: 4.93, derivative: -0.15, control var: 0.86, steering_command 88
Projected direction: 5.03, error: 5.03, derivative: 0.10, control var: 1.10, steering_command 87
Projected direction: 5.04, error: 5.04, derivative: 0.00, control var: 1.01, steering_command 87
Projected direction: 4.95, error: 4.95, derivative: -0.08, control var: 0.92, steering_command 87
Projected direction: 22.21, error: 22.21, derivative: 17.25, control var: 19.97, steering_command 21
Projected direction: 29.00, error: 29.00, derivative: 6.79, control var: 11.91, steering_command 49
Projected direction: 8.56, error: 8.56, derivative: -20.44, control var: -16.69, steering_command 149
Projected direction: 1.55, error: 1.55, derivative: -7.01, control var: -6.00, steering_command 111
Projected direction: 1.63, error: 1.63, derivative: 0.09, control var: 0.41, steering_command 89
Projected direction: 1.97, error: 1.97, derivative: 0.33, control var: 0.69, steering_command 88
Projected direction: 2.47, error: 2.47, derivative: 0.50, control var: 0.95, steering_command 87
Projected direction: 2.41, error: 2.41, derivative: -0.06, control var: 0.43, steering_command 89
Projected direction: 2.53, error: 2.53, derivative: 0.12, control var: 0.62, steering_command 88
Projected direction: 2.38, error: 2.38, derivative: -0.15, control var: 0.34, steering_command 89
Projected direction: 2.54, error: 2.54, derivative: 0.16, control var: 0.65, steering_command 88
Projected direction: 2.33, error: 2.33, derivative: -0.20, control var: 0.28, steering_command 89
Projected direction: 2.23, error: 2.23, derivative: -0.10, control var: 0.35, steering_command 89
Projected direction: 2.61, error: 2.61, derivative: 0.38, control var: 0.87, steering_command 87
Projected direction: 2.63, error: 2.63, derivative: 0.02, control var: 0.54, steering_command 89
Projected direction: 0.09, error: 0.09, derivative: -2.54, control var: -2.27, steering_command 98
Projected direction: 4.21, error: 4.21, derivative: 4.12, control var: 4.55, steering_command 75
Projected direction: 4.41, error: 4.41, derivative: 0.20, control var: 1.06, steering_command 87
Projected direction: -7.09, error: -7.09, derivative: -11.50, control var: -11.77, steering_command 131
Projected direction: 16.11, error: 16.11, derivative: 23.20, control var: 24.11, steering_command 6
